iter	Logloss
0	0.6567443057
1	0.6234144247
2	0.59310764
3	0.564043587
4	0.5401003411
5	0.5151913035
6	0.4912319012
7	0.4689444241
8	0.449032541
9	0.431845607
10	0.413802416
11	0.3977452104
12	0.3837380376
13	0.370642315
14	0.3601560431
15	0.3489558181
16	0.3388115682
17	0.3288120867
18	0.3200831466
19	0.3119135635
20	0.304126652
21	0.2969660963
22	0.2898243745
23	0.2830435999
24	0.276890033
25	0.2706597614
26	0.2654070564
27	0.2610276775
28	0.2564104866
29	0.2530358449
30	0.2491498892
31	0.2454192902
32	0.2419411535
33	0.2391291093
34	0.2367449653
35	0.2338309169
36	0.2311496754
37	0.2284214708
38	0.2266821971
39	0.2245485072
40	0.222531989
41	0.220628185
42	0.2186664342
43	0.216626792
44	0.2150577534
45	0.2137943926
46	0.2121466259
47	0.2106744951
48	0.2092684197
49	0.208142099
50	0.2069568121
51	0.205971502
52	0.2050222927
53	0.2039462971
54	0.2030529505
55	0.2025271536
56	0.2017451217
57	0.200917572
58	0.2001332276
59	0.199419092
60	0.1986856204
61	0.1981150664
62	0.1974999075
63	0.1968812191
64	0.1963114106
65	0.1958377796
66	0.1952894673
67	0.1949590377
68	0.1944547522
69	0.1939601119
70	0.1936166294
71	0.1932533698
72	0.1928506169
73	0.1925148779
74	0.1921389153
75	0.1918933294
76	0.1915696088
77	0.1912792506
78	0.1908799511
79	0.1905837815
80	0.1902388538
81	0.1899490889
82	0.1895995059
83	0.1893527334
84	0.1891488468
85	0.1889165268
86	0.188649962
87	0.1884762735
88	0.1882258498
89	0.1880455435
90	0.187880344
91	0.1877357125
92	0.1875172517
93	0.1873607997
94	0.1871444383
95	0.1869497708
96	0.1867651744
97	0.1866026372
98	0.1863996329
99	0.1862905242
100	0.1861476879
101	0.1860441929
102	0.1859131164
103	0.1857513397
104	0.1855763429
105	0.1854470767
106	0.1853803823
107	0.1852739815
108	0.1851563078
109	0.1850457539
110	0.1849378774
111	0.1847986619
112	0.1846770784
113	0.1845784972
114	0.184483415
115	0.1843853815
116	0.1842718761
117	0.184178939
118	0.1841106928
119	0.184026199
120	0.1839762846
121	0.1838768059
122	0.1837637417
123	0.1836459159
124	0.1835792671
125	0.1835315891
126	0.1834412077
127	0.183314254
128	0.1832540556
129	0.1832056626
130	0.183148811
131	0.1830636022
132	0.1830032668
133	0.1828952382
134	0.1828520177
135	0.1827683149
136	0.1827158904
137	0.1826812044
138	0.1826044997
139	0.1825661778
140	0.1824770744
141	0.1824175301
142	0.1823511704
143	0.1822594959
144	0.1822510222
145	0.1821464774
146	0.1821181353
147	0.182061086
148	0.1820088745
149	0.1819395482
150	0.1818888732
151	0.1818819664
152	0.1818217528
153	0.1817766458
154	0.1816527195
155	0.1815838952
156	0.1815285041
157	0.1814636656
158	0.1814304706
159	0.1813591817
160	0.1813165849
161	0.181273623
162	0.1812225829
163	0.1811523285
164	0.1811248079
165	0.1810769474
166	0.1810430373
167	0.180932529
168	0.1808615596
169	0.1808229791
170	0.1808171676
171	0.1808034758
172	0.1807442358
173	0.1806955233
174	0.1806497013
175	0.1805892442
176	0.1805635036
177	0.1805148824
178	0.1804176095
179	0.1804160273
180	0.1803713159
181	0.1803429281
182	0.1803188761
183	0.1802739821
184	0.18023172
185	0.1801682355
