iter	Passed	Remaining
0	5	5397
1	10	5066
2	14	4792
3	19	4774
4	23	4659
5	27	4534
6	32	4616
7	37	4629
8	42	4627
9	47	4713
10	51	4616
11	54	4504
12	57	4397
13	61	4329
14	63	4165
15	65	4048
16	68	3941
17	70	3868
18	74	3834
19	77	3794
20	80	3750
21	82	3679
22	85	3639
23	88	3589
24	91	3562
25	94	3549
26	97	3522
27	100	3482
28	103	3458
29	105	3416
30	108	3404
31	112	3394
32	115	3388
33	118	3353
34	120	3309
35	122	3293
36	126	3292
37	129	3281
38	132	3252
39	135	3240
40	138	3236
41	142	3240
42	145	3229
43	148	3218
44	150	3200
45	153	3187
46	156	3181
47	160	3174
48	163	3163
49	165	3153
50	168	3144
51	171	3127
52	175	3130
53	178	3122
54	181	3113
55	183	3093
56	186	3084
57	189	3083
58	192	3077
59	196	3071
60	199	3063
61	201	3055
62	205	3054
63	208	3048
64	211	3042
65	214	3035
66	217	3027
67	219	3013
68	223	3012
69	226	3009
70	229	2997
71	232	2990
72	235	2984
73	238	2985
74	241	2981
75	243	2965
76	246	2959
77	249	2953
78	253	2952
79	256	2950
80	259	2944
81	262	2938
82	265	2932
83	268	2926
84	272	2929
85	275	2924
86	278	2919
87	281	2913
88	284	2907
89	287	2910
90	290	2905
91	293	2899
92	296	2894
93	299	2888
94	303	2888
95	306	2884
96	309	2878
97	312	2873
98	315	2868
99	317	2859
100	321	2857
101	324	2855
102	327	2852
103	330	2848
104	333	2845
105	337	2844
106	340	2839
107	343	2834
108	346	2829
109	349	2825
110	352	2825
111	355	2820
112	358	2816
113	361	2811
114	364	2808
115	368	2808
116	371	2803
117	374	2798
118	377	2794
119	380	2790
120	384	2789
121	387	2785
122	390	2780
123	392	2776
124	396	2775
125	400	2778
126	403	2774
127	406	2769
128	409	2767
129	412	2762
130	416	2760
131	419	2757
132	422	2757
133	426	2754
134	429	2749
135	432	2748
136	435	2744
137	438	2740
138	441	2736
139	444	2731
140	448	2730
141	451	2727
142	454	2723
143	457	2719
144	460	2712
145	463	2708
146	465	2702
147	468	2698
148	472	2695
149	475	2692
150	478	2687
151	480	2682
152	483	2678
153	486	2674
154	489	2670
155	492	2666
156	496	2663
157	499	2661
158	503	2660
159	506	2657
160	509	2653
161	513	2653
162	516	2651
163	519	2647
164	522	2643
165	525	2639
166	529	2640
167	532	2637
168	536	2637
169	539	2634
170	541	2627
171	545	2626
172	548	2622
173	551	2618
174	554	2614
175	557	2610
176	561	2610
177	564	2606
178	567	2603
179	569	2593
180	572	2589
181	575	2585
182	578	2584
183	581	2580
184	584	2576
185	587	2572
186	590	2567
187	593	2565
188	597	2561
189	599	2557
190	602	2550
191	604	2542
192	607	2538
193	610	2537
194	613	2534
195	616	2530
196	619	2526
197	623	2523
198	626	2521
199	629	2519
200	633	2517
201	636	2513
202	639	2509
203	642	2507
204	646	2505
205	648	2501
206	652	2498
207	655	2494
208	658	2492
209	661	2489
210	664	2485
211	667	2481
212	670	2478
213	674	2475
214	676	2470
215	679	2466
216	682	2463
217	685	2459
218	687	2452
219	691	2450
220	694	2446
221	697	2443
222	700	2439
223	703	2435
224	706	2433
225	709	2428
226	712	2424
227	715	2421
228	718	2417
229	721	2414
230	724	2413
231	727	2407
232	730	2403
233	733	2400
234	736	2396
235	738	2389
236	741	2387
237	744	2384
238	748	2381
239	751	2378
240	754	2374
241	757	2373
242	760	2370
243	763	2366
244	766	2362
245	769	2359
246	773	2357
247	776	2355
248	780	2352
249	783	2349
250	786	2345
251	789	2343
252	793	2341
253	796	2338
254	799	2335
255	802	2331
256	805	2329
257	808	2326
258	811	2322
259	814	2319
260	817	2315
261	821	2314
262	824	2311
263	827	2307
264	830	2304
265	833	2300
266	837	2298
267	840	2295
268	843	2291
269	846	2288
270	849	2284
271	854	2286
272	857	2282
273	860	2279
274	863	2275
275	865	2271
276	869	2269
277	872	2266
278	875	2262
279	878	2259
280	881	2255
281	884	2252
282	888	2249
283	890	2246
284	893	2242
285	896	2239
286	900	2236
287	903	2233
288	906	2230
289	909	2226
290	912	2223
291	915	2219
292	919	2217
293	921	2212
294	924	2209
295	927	2205
296	929	2200
297	933	2198
298	936	2195
299	939	2192
300	942	2189
301	945	2186
302	949	2183
303	952	2181
304	955	2177
305	958	2174
306	961	2170
307	964	2167
308	968	2165
309	971	2161
310	974	2158
311	977	2154
312	980	2151
313	983	2149
314	986	2145
315	989	2142
316	992	2138
317	995	2135
318	999	2133
319	1002	2129
320	1005	2126
321	1008	2123
322	1011	2119
323	1014	2117
324	1017	2114
325	1021	2111
326	1024	2108
327	1027	2104
328	1030	2102
329	1034	2099
330	1036	2095
331	1039	2092
332	1042	2089
333	1046	2087
334	1049	2084
335	1053	2081
336	1056	2078
337	1059	2075
338	1062	2072
339	1065	2069
340	1068	2065
341	1071	2062
342	1074	2058
343	1078	2056
344	1081	2053
345	1084	2049
346	1087	2046
347	1090	2042
348	1093	2039
349	1096	2037
350	1099	2033
351	1102	2030
352	1105	2026
353	1108	2023
354	1112	2021
355	1115	2017
356	1118	2014
357	1121	2010
358	1124	2007
359	1127	2004
360	1130	2001
361	1133	1998
362	1136	1994
363	1139	1991
364	1142	1988
365	1146	1985
366	1149	1982
367	1152	1979
368	1155	1976
369	1159	1973
370	1162	1970
371	1165	1967
372	1168	1964
373	1171	1960
374	1174	1957
375	1178	1955
376	1181	1951
377	1184	1948
378	1187	1946
379	1191	1944
380	1195	1942
381	1198	1938
382	1201	1935
383	1204	1931
384	1207	1928
385	1210	1926
386	1213	1922
387	1216	1919
388	1219	1915
389	1222	1912
390	1226	1910
391	1229	1906
392	1232	1903
393	1235	1899
394	1238	1896
395	1241	1894
396	1244	1890
397	1247	1887
398	1250	1884
399	1253	1880
400	1257	1877
401	1260	1874
402	1263	1871
403	1266	1868
404	1269	1865
405	1272	1862
406	1275	1858
407	1278	1855
408	1281	1851
409	1284	1848
410	1287	1845
411	1291	1842
412	1294	1839
413	1297	1836
414	1300	1832
415	1303	1829
416	1306	1826
417	1309	1823
418	1312	1820
419	1315	1817
420	1318	1813
421	1322	1811
422	1325	1808
423	1328	1805
424	1331	1802
425	1335	1798
426	1338	1796
427	1341	1793
428	1344	1790
429	1347	1786
430	1350	1783
431	1354	1780
432	1357	1777
433	1360	1774
434	1363	1771
435	1366	1768
436	1370	1765
437	1373	1762
438	1376	1759
439	1379	1755
440	1382	1752
441	1385	1749
442	1389	1746
443	1392	1743
444	1395	1740
445	1398	1736
446	1401	1733
447	1404	1730
448	1407	1727
449	1410	1724
450	1413	1720
451	1416	1717
452	1420	1715
453	1423	1711
454	1426	1708
455	1429	1705
456	1432	1702
457	1436	1699
458	1439	1696
459	1442	1693
460	1445	1690
461	1448	1687
462	1452	1684
463	1455	1681
464	1459	1679
465	1462	1676
466	1465	1672
467	1469	1670
468	1472	1667
469	1475	1663
470	1478	1660
471	1481	1657
472	1484	1654
473	1488	1651
474	1491	1648
475	1494	1644
476	1497	1641
477	1500	1638
478	1503	1635
479	1506	1632
480	1509	1628
481	1512	1625
482	1515	1622
483	1519	1619
484	1522	1616
485	1530	1618
486	1536	1618
487	1542	1618
488	1546	1615
489	1550	1614
490	1554	1611
491	1557	1608
492	1560	1604
493	1564	1602
494	1567	1599
495	1570	1596
496	1573	1592
497	1576	1589
498	1581	1587
499	1585	1585
500	1588	1582
501	1591	1578
502	1594	1575
503	1598	1572
504	1601	1569
505	1604	1566
506	1607	1562
507	1610	1559
508	1613	1556
509	1616	1553
510	1619	1550
511	1622	1546
512	1625	1543
513	1629	1540
514	1632	1537
515	1635	1533
516	1638	1530
517	1641	1527
518	1644	1524
519	1647	1521
520	1650	1517
521	1653	1514
522	1656	1511
523	1659	1507
524	1663	1504
525	1666	1501
526	1669	1498
527	1672	1495
528	1675	1492
529	1679	1489
530	1682	1486
531	1685	1482
532	1688	1479
533	1691	1476
534	1695	1473
535	1698	1470
536	1701	1466
537	1704	1463
538	1707	1460
539	1710	1457
540	1713	1453
541	1716	1450
542	1720	1447
543	1723	1444
544	1726	1441
545	1729	1438
546	1732	1434
547	1735	1431
548	1738	1428
549	1741	1425
550	1745	1422
551	1748	1418
552	1751	1415
553	1754	1412
554	1756	1408
555	1760	1405
556	1763	1402
557	1766	1399
558	1769	1395
559	1772	1392
560	1775	1389
561	1778	1386
562	1782	1383
563	1785	1379
564	1788	1376
565	1791	1373
566	1794	1370
567	1797	1367
568	1800	1363
569	1803	1360
570	1806	1357
571	1810	1354
572	1813	1351
573	1816	1347
574	1819	1344
575	1822	1341
576	1825	1338
577	1829	1335
578	1832	1332
579	1835	1328
580	1838	1325
581	1842	1322
582	1845	1319
583	1847	1316
584	1850	1313
585	1853	1309
586	1857	1307
587	1861	1304
588	1864	1300
589	1866	1297
590	1869	1294
591	1873	1291
592	1877	1288
593	1880	1285
